n,100
0,mean,2.7305640840530394
0,std_dev,0.29482623864264434
1,mean,5.224335067272186
1,std_dev,0.9136014986731972
2,mean,12.416857192516327
2,std_dev,1.996854657498429
3,mean,13.218751668930054
3,std_dev,2.9744743887502607
4,mean,9.896336605548859
4,std_dev,2.552177029790849
5,mean,21.129382231235503
5,std_dev,14.124327110171862
6,mean,3.307801306247711
6,std_dev,1.1108514070454063
7,mean,2.0145195865631105
7,std_dev,7.027612760901591
8,mean,4.334482295513153
8,std_dev,1.7798248387219542
9,mean,5.171404843330383
9,std_dev,1.8117640195636755
10,mean,0.012667667865753175
10,std_dev,0.024258505951600083
11,mean,0.017809910774230955
11,std_dev,0.03302324397369022
12,mean,6.251349046230316
12,std_dev,3.347488642343566
13,mean,49.48944304466247
13,std_dev,23.97319028723027
14,mean,6.240741012096405
14,std_dev,1.15802877858434
15,mean,88.90800998926163
15,std_dev,22.384776657770608
all,mean,14.39777847200632
all,std_dev,24.301351533840553
sum,mean,230.36445555210113
sum,std_dev,54.14743200312782
