n,100
0,mean,2.7591319632530213
0,std_dev,0.44792807680680485
1,mean,5.059518101215363
1,std_dev,1.0915209331691371
2,mean,11.802398135662079
2,std_dev,2.7022529628677088
3,mean,11.397512178421021
3,std_dev,3.5429819777396734
4,mean,8.321504347324371
4,std_dev,2.8022734413098593
5,mean,15.667174298763275
5,std_dev,14.847923376808616
6,mean,3.386880919933319
6,std_dev,0.8293139654094343
7,mean,1.3983073925971985
7,std_dev,5.0775492073087465
8,mean,5.264264512062073
8,std_dev,3.401924653646585
9,mean,5.003977720737457
9,std_dev,1.3040955064399398
10,mean,0.030575473308563233
10,std_dev,0.03597895286810523
11,mean,0.0014912867546081543
11,std_dev,0.01249217698443234
12,mean,5.959683406352997
12,std_dev,2.8095327840353215
13,mean,30.946300365924834
13,std_dev,27.707657514424163
14,mean,7.153038151264191
14,std_dev,1.7551975656402472
15,mean,91.05042135238648
15,std_dev,22.680252357411316
all,mean,12.825136225372553
all,std_dev,23.675510241749684
sum,mean,205.20217960596085
sum,std_dev,59.37368991264316
