n,100
0,mean,2.637042245864868
0,std_dev,0.24759358181073582
1,mean,4.6366282653808595
1,std_dev,0.696014211933644
2,mean,11.236409900188447
2,std_dev,2.7918121243065586
3,mean,10.08529950618744
3,std_dev,3.187910570606103
4,mean,6.745623123645783
4,std_dev,1.6520424574718695
5,mean,11.197158465385437
5,std_dev,10.255449957688008
6,mean,3.2464653491973876
6,std_dev,0.7120564386134561
7,mean,1.531958158016205
7,std_dev,5.12811975206245
8,mean,4.652711315155029
8,std_dev,1.3228409106292685
9,mean,5.227064383029938
9,std_dev,1.3364116243813868
10,mean,0.03382304668426514
10,std_dev,0.031885733642678396
11,mean,0.0008689141273498535
11,std_dev,0.003951807189983026
12,mean,6.058408892154693
12,std_dev,2.6514166146861244
13,mean,20.013814523220063
13,std_dev,17.9182604677077
14,mean,7.060511989593506
14,std_dev,2.1206938944749347
15,mean,81.68438845396042
15,std_dev,16.770284064810646
all,mean,11.00301103323698
all,std_dev,20.127916905346456
sum,mean,176.04817653179168
sum,std_dev,26.669813547329493
