n,100
0,mean,1.608390600681305
0,std_dev,0.08963218164568498
1,mean,2.870986087322235
1,std_dev,0.32470165597329903
2,mean,4.208049709796906
2,std_dev,0.45141376304164504
3,mean,4.24679699420929
3,std_dev,0.39175899792722785
4,mean,4.417640421390534
4,std_dev,0.2991352414876227
5,mean,14.012140936851502
5,std_dev,1.2304348016335251
6,mean,1.5945525550842286
6,std_dev,0.05317604305448441
7,mean,13.830998992919922
7,std_dev,1.2073444029546634
8,mean,2.0719932651519777
8,std_dev,0.38594196454726953
9,mean,1.766805851459503
9,std_dev,0.40002090127924844
10,mean,0.00013509511947631836
10,std_dev,3.41980790831126e-05
11,mean,0.00010740280151367188
11,std_dev,2.1627035388937137e-05
12,mean,1.7588791370391845
12,std_dev,0.331813395034875
13,mean,43.24867907047272
13,std_dev,5.358741490693884
14,mean,2.2811712408065796
14,std_dev,0.12706421151459682
15,mean,48.20027204990387
15,std_dev,8.358177859428482
all,mean,9.13234996318817
all,std_dev,14.649748133247053
sum,mean,146.11759941101073
sum,std_dev,14.645738421847199
